Label	x	y	claim	perspective
0	0	0	School Day Should Be Extended	Not enough fundng...
0	0	0	Raise The School Leaving Age To 18	Not all skills are best learnt in a classroom environment.
0	0	0	Raise The School Leaving Age To 18	The classroom environment is not ideal for all lessons.
0	0	0	Raise The School Leaving Age To 18	Not everyone is good at studying
0	0	0	Raise The School Leaving Age To 18	We shouldn't force people to study if they aren't good at it and choose not to.
0	0	0	Raise The School Leaving Age To 18	not everyone is good academically
0	0	0	Raise The School Leaving Age To 18	some people are not good at studying
0	0	0	Make all museums free of charge	We should not expect the state to fund museums
1	0	0	Chess must be at the Olympics	Chess is currently not an Olympic sport, but it should be.
0	0	0	Chess must be at the Olympics	Chess cannot ensure fair play
1	0	0	The Catholic Church needs reform	It currently promotes loyalty to the institution not the laity
1	0	0	The Catholic Church needs reform	Currently the Catholic Chuch focuses on loyalty to the church itself, not those they serve.
1	0	0	The Catholic Church needs reform	The Catholic Church wants loyalty to institution, not to the common man.
1	0	0	The Catholic Church needs reform	If priests were not forced to be celibate, the issue of child rate would not be as widespread.
0	0	0	Positive Discrimination Towards Women in Society Is Justified	Positive discrimination towards women should not be allowed
0	0	0	Positive Discrimination Towards Women in Society Is Justified	It is Men, Not Women, who are Disadvantaged in our Society
0	0	0	Positive Discrimination Towards Women in Society Is Justified	It does not address the underlying issues
0	0	0	 College education is worth it	Some argue that a college education may not be necessary, since there are many people who have succeeded despite not having college degrees. 
0	0	0	 College education is worth it	The question of whether or not a college education is necessary for success is one that is debated, as many successful people are not college educated.
0	0	0	 College education is worth it	Many college graduates are employed in jobs that do not require college degrees.
0	0	0	 College education is worth it	Many people with college degrees find themselves working in positions in which their degrees are not a requirement. 
0	0	0	 College education is worth it	More and more college educated people are accepting jobs for which they do not need a college education. 
0	0	0	 College education is worth it	College degrees do not guarantee learning or job preparation.
0	0	0	 College education is worth it	Acquiring a degree does not guarantee you a job.
1	0	0	College football should replace the bowl championship series (BCS)	A playoff system would not mean the end of the BCS rankings, which could still be used to determine the top 4, 8, 12, or 16 teams, depending on how many playoff games are feasible.
1	0	0	Pensions should be privatised	Government pension schemes are not a viable or sustainable option.
0	0	0	Pensions should be privatised	senior citizens should not and cannot be exposed to such naked risk on moral grounds
1	0	0	The use of animals as objects of sport and entertainment should be banned.	Blood sports cannot be justified by reference to their role in pest control or conservation
1	0	0	The use of animals as objects of sport and entertainment should be banned.	Blood sports are not justified by their role in pest control or conservation.
1	0	0	The use of animals as objects of sport and entertainment should be banned.	The need for pest control or conservation does not justify blood sports. 
1	0	0	The use of animals as objects of sport and entertainment should be banned.	Pest control or conservation arguments does not rationalize our use of animals as objects in blood sports.
1	0	0	The use of animals as objects of sport and entertainment should be banned.	The use of animals as objects in blood sports cannot be justified by the week argument that it provides benefit through pest control or conservation.
1	0	0	The use of animals as objects of sport and entertainment should be banned.	Animals are not percieved as part of the moral community when they are treated as property.
1	0	0	The use of animals as objects of sport and entertainment should be banned.	Animals should not be treated as objects or property as doing so allows them to be treated amorally.
1	0	0	The use of animals as objects of sport and entertainment should be banned.	It is not possible to harmlessly have animals as entertainment
1	0	0	The use of animals as objects of sport and entertainment should be banned.	It is not moral to hurt animals for entertainment
1	0	0	Puerto Rico should seek American statehood	English is not a problem for Puerto Rican statehood
0	0	0	Puerto Rico should seek American statehood	Puerto Rican statehood is not economical for the US
0	0	0	Puerto Rico should seek American statehood	Puerto Rican statehood will not benefit the US economically.
0	0	0	Puerto Rico should seek American statehood	Making Puerto Rico a state is not a good economic decision for the US. 
0	0	0	Puerto Rico should seek American statehood	It would be better for the US if Puerto Rico does not become a state. 
0	0	0	There is a good case for stating that there is a God	People think that a benevolent God cannot exist because bad things happen...
0	0	0	The law on self defence should cover ‘grossly disproportionate’ actions	We should not allow state sponsored revenge
0	0	0	Animal testing should be banned.	Animals do not have rights, therefore it is acceptable to experiment on them.
0	0	0	Animal testing should be banned.	Animals don't have rights.
1	0	0	Animal testing should be banned.	Animals shouldn't be put through harmful situations.
1	0	0	Animal testing should be banned.	Drugs that pass animal tests are not necessarily safe.
1	0	0	Animal testing should be banned.	Animal tests do not reliably predict results in human beings.
1	0	0	Animal testing should be banned.	Religious traditions tell us to be merciful to animals, so we should not cause them suffering by experimenting on them.
1	0	0	Animal testing should be banned.	95% of animals used in experiments are not protected by the Animal Welfare Act.
1	0	0	Animal testing should be banned.	animal experiments are not always accurate
0	0	0	Instant Replay Should Be Used in Major League Baseball	video cannot catch all plays at a game
1	0	0	Instant Replay Should Be Used in Major League Baseball	It’s not possible to get every call right, so instant replay is a necessary supplement to umpires’ skill
0	0	0	Instant Replay Should Be Used in Major League Baseball	Tradition demands that this instant replay not be used
0	0	0	Instant Replay Should Be Used in Major League Baseball	Instant replay is not beneficial to the game
0	0	0	Instant Replay Should Be Used in Major League Baseball	Instant replay should not be used during baseball games
0	0	0	Kill One to Save Many	We cannot make any judgments about whose life is valuable and whose is not
0	0	0	Kill One to Save Many	We do not want a society in which killing can be acceptable
0	0	0	It is fine to kill one to save many	We should not will a world where killing is acceptable in to existencele in to existence
0	0	0	It is fine to kill one to save many	We cannot support a world where killing is acceptable as long as it saves lives.
1	0	0	Attorney-client privilege should be abolished	Attorney client privilege need not be sacrosanct in all situations
1	0	0	Companies should provide alternative interview methods	Can't get a realistic impression of a person in such a short space of time.
0	0	0	Sanctions should be used to promote democracy	Sanctions do not harm the right people.
0	0	0	We have to employ mercenaries	PMCs can not be trusted.
1	0	0	We have to employ mercenaries	there are some services that you cannot get without PMC's
0	0	0	Transparency is necessary for security	Putting all your information out there is not safe.
0	0	0	Animals should be kept in zoos	Animal research may be valuable, but it does not need to happen in the context of confinement and human entertainment.
0	0	0	Animals should be kept in zoos	Wild Animals Are Not Domesticated
