undermine_score,support_score,predict_label,gold
-1.1044978,1.399804,1,1
-1.272779,1.7622521,1,0
-3.6449702,4.1526504,1,1
-2.216542,2.4911492,1,1
-1.3754474,1.5481474,1,1
-3.1869519,3.5837822,1,1
0.15052709,0.35319644,1,1
-3.2283108,3.5497026,1,1
-3.0086813,3.5493927,1,1
-3.0188813,3.4321136,1,1
-2.2954423,2.744546,1,1
-3.9237278,4.2672167,1,1
-3.9237952,4.26027,1,1
3.3053885,-3.193239,0,0
2.4818578,-2.1873522,0,0
0.98144406,-0.8269289,0,0
1.7634495,-1.5017489,0,0
0.16925117,0.3360642,1,0
2.9801939,-2.7649586,0,0
3.201203,-3.0423415,0,0
4.112214,-4.219991,0,0
-3.5264826,4.0053496,1,1
-3.308014,3.6254025,1,1
-3.125919,3.6951745,1,1
-3.5453424,4.015405,1,1
-2.7547305,3.0456977,1,1
-2.94636,3.4315557,1,1
-1.9117535,2.202052,1,1
-2.8421226,3.3446546,1,1
-2.4940114,2.9418771,1,1
-2.5454617,3.07978,1,1
3.1993752,-3.1579933,0,0
3.3912635,-3.2837214,0,0
2.0366392,-1.7301041,0,0
2.3978612,-2.0047932,0,0
4.0265584,-4.082395,0,0
2.2363443,-2.0904706,0,0
3.219307,-3.084268,0,0
3.0600393,-2.8983912,0,0
4.3148007,-4.552027,0,0
3.8660235,-4.1614375,0,0
4.1975436,-4.4269032,0,0
3.5488412,-3.6431885,0,0
-2.8431015,3.27702,1,1
-2.3873577,2.6911085,1,1
-2.955163,3.208821,1,1
2.6315956,-2.641454,0,1
-3.0911689,3.3454032,1,1
1.8113098,-1.6303537,0,0
4.104148,-4.4629717,0,0
-2.216735,2.5925221,1,0
-3.7875066,4.256903,1,1
-2.6994946,3.0332317,1,1
-3.3737926,3.7680614,1,1
-0.89863354,1.4295126,1,1
4.1710033,-4.2827406,0,0
1.1346554,-0.665071,0,1
-1.2419547,1.5901437,1,1
-1.2041627,1.6195563,1,1
-3.473873,3.7981634,1,1
-1.9177762,2.6472945,1,1
2.715043,-2.9763296,0,0
-1.7748781,2.3323514,1,1
-3.9045787,4.291457,1,1
3.3703334,-3.154634,0,0
-3.7794075,4.2569184,1,1
2.6185806,-2.4401062,0,1
3.3666186,-3.430304,0,1
3.3042226,-3.263013,0,1
2.3693619,-2.5047066,0,1
-2.097111,2.2646544,1,1
3.2072072,-3.3329964,0,1
3.7533665,-4.0708632,0,1
-3.1042314,3.4459453,1,1
1.4293809,-1.2510968,0,0
2.0687804,-1.9036239,0,0
-0.38024795,0.68208224,1,0
3.9700239,-4.1303287,0,0
-0.72859746,1.1393923,1,1
-1.4660385,1.8734955,1,1
-0.5924273,0.842241,1,1
-3.8011198,4.213845,1,1
-3.6683626,4.1390796,1,1
-3.2418804,3.54919,1,1
-3.8836722,4.263623,1,1
-3.7810402,4.178147,1,1
-2.9006453,3.215209,1,1
1.3823255,-1.284661,0,0
2.3128726,-2.2920895,0,0
-2.5832572,3.0333836,1,1
-1.701059,2.2029576,1,1
3.4172144,-3.5360918,0,1
-2.632673,2.9696088,1,1
-3.3136268,3.6452634,1,1
-0.55848414,1.0330346,1,0
3.86967,-4.1445174,0,0
4.2320457,-4.4076867,0,0
-1.5840908,1.8882511,1,0
0.60026795,-0.2176695,0,0
0.32370782,0.11160816,0,0
-3.2032473,3.8240535,1,1
-3.348131,3.7594285,1,1
